"geoid","fuelheat","housingvalue","kitchen","mortgage","mortgagecost","mortgageval","occupy","occupyown","phone","plumbing","rentgross","rentprcinc","rooms","units","unitsownpop"
"05000US01001",87.67,"147900","97.88",63.31,"84.95","70.01",90.56,74.89,"97.94","97.17","966",37.8,6,1.78811271607862,74.82
"05000US01003",96.84,"189800","98.49",59.22,"84.1","61.07",70.23,73.62,"96.39","99.2","958",42.8,5.6,1.89516929103813,74.96
"05000US01005",86.05,"92900","96.1",45.35,"70.94","55.44",76.95,61.4,"97.13","95.22","590",39.9,5.5,1.53200522534291,60.05
"05000US01007",83,"96500","91.03",43.45,"71.49","46.41",74.66,75.07,"96.51","84.48","714",39.9,5.5,1.82236842105263,76.59
"05000US01009",87.55,"124700","92.42",49.63,"76.11","50.35",85.05,78.63,"96.98","96.66","662",40.8,5.6,1.97995145631068,80.84
"05000US01011",83.08,"77500","94.23",35.91,"55.79","37.32",79.74,75.53,"95.46","92.07","668",39.6,6,1.24494319756165,74.38
"05000US01013",81.55,"88300","80.54",43.56,"67.46","46.08",66.91,69.95,"97.41","80.93","606",40.7,5.5,1.57185450208706,68.88
"05000US01015",92.81,"113800","95.17",52.66,"77.99","58.23",83.89,69.47,"98.37","97.73","680",39.7,5.7,1.76168587480292,69.07
"05000US01017",86.49,"88400","91.82",49.07,"72.72","56.08",79.59,67.76,"97.86","95.03","715",43,5.5,1.59196507842557,67.68
"05000US01019",72.85,"123100","96.15",39.38,"67.86","44.84",64.16,78.96,"97.08","96.2","606",45.9,5.6,1.94899113709221,79.96
"05000US01021",82.41,"102200","96.45",47.97,"74.67","50.74",85.53,74.85,"97.02","96.72","684",38.6,5.6,1.8869918213838,74.95
"05000US01023",70.96,"75200","90.35",33,"58.24","41.39",72.85,79.68,"97.2","88.85","533",46.1,5.4,1.55327102803738,79.74
"05000US01025",85.2,"100800","91.5",37.74,"64.59","47.46",73.45,67.47,"94.07","90.17","561",42.3,5.8,1.55599487069887,71.95
"05000US01027",78.19,"102200","89.74",42.04,"74.12","49.43",76.98,72.36,"97.61","92.16","564",43.7,5.8,1.83441558441558,73.28
"05000US01029",65.79,"112000","94.43",44.16,"72.02","51.09",84.13,75.65,"96.86","94.26","575",42.5,5.5,1.94830597275585,76.61
"05000US01031",94.18,"149100","96.98",56.05,"81.76","62.4",85.71,64.79,"97.69","96.05","782",39.3,5.7,1.77947344484309,65.6
"05000US01033",91.47,"113500","92.51",50.97,"73.13","42.9",82.37,72.71,"96.82","92.33","691",42.7,6,1.82168906830589,73.53
"05000US01035",88.5,"76600","76.31",26.06,"51.09","30.89",64.03,76.61,"96.15","77.1","568",44.8,5.2,1.52645386969829,76.65
"05000US01037",73.97,"87900","85.77",48.13,"72.69","56.48",62.56,81.99,"97.05","84.23","554",46.9,5.6,1.69461369729466,83.16
"05000US01039",90.68,"95500","93.18",47.24,"73.54","55.21",79.38,74.03,"97.91","94.21","608",43.9,5.3,1.86507196162047,74.7
